City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,tome acu,56.8558,73.558,-8.5,96,92,2.17,RU,1698546415
222,novyy urgal,64.3646,177.8108,2.28,99,100,5.37,RU,1698546415
223,burutu,-33.7475,23.5809,5.93,73,76,2.2,ZA,1698546416
224,kyenjojo,32.5686,20.8052,18.54,84,46,0.39,LY,1698546419
225,oamaru,46.5582,14.8549,6.99,99,65,1.22,SI,1698546419
226,huanuni,30.877,12.098,20.29,25,82,3.65,LY,1698546419
227,frontera,50.0351,108.9884,-2.72,52,30,0.94,RU,1698546419
228,larne,6.8295,15.9446,19.58,91,16,0.65,CF,1698546420
229,ash shafa,42.0755,-6.5237,10.13,96,100,5.94,ES,1698546420
230,nabire,6.8939,161.3104,28.82,71,25,2.35,FM,1698546420
231,nuku'alofa,45.2249,26.2036,11.41,62,8,2.22,RO,1698546421
232,muhldorf,-14.4483,27.1011,21.46,62,53,2.39,ZM,1698546422
233,oak island,67.8766,155.8381,-13.02,86,22,2.96,RU,1698546423
234,batang,-1.6092,-55.0522,27.63,48,40,1.33,BR,1698546423
235,thomson,15.5753,49.46,19.07,69,24,1.01,YE,1698546424
236,carutapera,-4.0566,104.1052,31.32,45,16,2.39,ID,1698546424
237,kultali,12.608,51.8903,26.26,78,35,5.67,YE,1698546425
238,prudentopolis,44.6673,-105.2856,-7.39,93,10,2.43,US,1698546425
239,kalemie,72.2342,-76.2403,-14.76,97,100,1.22,CA,1698546425
240,labuan,21.7013,-110.4419,24.72,68,23,5.35,MX,1698546425
241,savave village,1.7858,26.2719,19.43,97,64,0.89,CD,1698546426
242,olinda,-26.0578,130.5329,33.11,7,3,7.1,AU,1698546426
243,puerto escondido,69.8572,-104.6686,-9.29,90,100,8.26,CA,1698546428
244,arteche,64.1307,24.0159,-1.35,87,99,2.08,FI,1698546429
245,lima,35.6613,-101.1058,1.15,100,100,7.2,US,1698546430
246,las heras,42.6001,53.0069,17.43,59,99,4.24,KZ,1698546431
247,valle de la pascua,43.609,-71.3826,14.16,69,0,4.47,US,1698546431
248,dingzhou,47.3405,-104.8811,-7.92,72,91,6.08,US,1698546431
249,marco island,-32.1922,26.4891,1.92,86,99,6.29,ZA,1698546431
250,yamada,11.2118,12.9483,24.5,24,30,1.66,NG,1698546432
251,columbia falls,17.9339,-87.7747,28.89,81,4,6.14,BZ,1698546432
252,kawm umbu,21.0164,-17.7558,22.88,79,10,8.6,MR,1698546433
253,cumaribo,65.9618,-160.7488,0.01,93,75,4.12,US,1698546433
